Lag,ACF,PACF
0,1.0,1.0
1,-0.06303485270758265,-0.06306308148174637
2,0.024855507908056372,0.02098428110645051
3,-0.006527745500020149,-0.003693551020046423
4,0.003119403873471792,0.001981422570567424
5,-0.034214554789830334,-0.033899703076114535
6,-0.008749435468240902,-0.013176636850533115
7,0.036691531499444374,0.03722554681227745
8,0.021723762023371368,0.02673489844430534
9,0.015578074674435696,0.017068658397835137
10,0.03012571324909696,0.03055649629872129
11,0.0047795966100644665,0.007305577431430686
12,0.033539801220122595,0.03597313467629885
13,-0.011088324486668143,-0.004395843459673282
14,-0.007855769678595127,-0.010349455654699143
15,0.013780170874277683,0.014101736575091808
16,0.010368519158736197,0.011742961370880668
17,0.01885850543888831,0.019337218180575697
18,-0.014216660044349764,-0.014575806743532153
19,-0.0009983605866159856,-0.008524599949063513
20,-0.0017389418039827633,-0.00296351739096544
21,0.03137293899232312,0.03230436270502757
22,-0.012179504876088565,-0.009252605882829822
23,-0.0026592889584501726,-0.007544398220692287
24,0.012994009592590734,0.009750234892749714
25,0.008516562026246552,0.009770579479413944
26,0.014862504725762539,0.018224793337526964
27,0.001301500643070873,0.0012893303139359432
28,0.007428224638634381,0.004207938418028844
29,-0.016780413536176014,-0.01653020413044142
30,-0.0019531661361903286,-0.002090151031376619
31,-0.006362331912301411,-0.006758351649968197
32,0.004922390858364692,0.002587416457885064
33,0.0056668546895915295,0.0029899978610592043
34,0.005505740321676621,0.004509295581971043
35,-0.0026619752726429182,-0.0030604622518288944
36,0.023669007135463375,0.021055058171377407
37,-0.0007434067585720724,0.001785342834240677
38,-0.007628919988641598,-0.009229885473154962
39,-0.020646865193496854,-0.019225993429687335
40,-0.003211780664341483,-0.005990802139887427
